Date,Location,Latitude,Longitude,Comments,Photo,Reason,MBSPrefix,MapRef
25-May-16,Dickebusch Huts,50.828517,2.817717,Relieved by CEF 4th Bttn. Move to Brigade Reserve,,,,28.H.26.b.7.6
02-Jun-16,Railway Dugouts,50.825057,2.926128,"Battle of Mont Sorrel, German attack 1st Bttn moves up to Support",,,,28.I.29.c.34.41
03-Jun-16,Woodcote Farm,50.835717,2.93525,In reserve of 7th Bttn. CounterAttack fails,,,,28.I.23.d.80.98
04-Jun-16,Leicester Square Trench,50.830743,2.932082,1 Bttn Moves to Front Line,,,,28.I.29.b.29.78
06-Jun-16,Woodcote Farm,50.835717,2.93525,Relieved by 3rd Bttn. Move back to reserve trenches,,,,28.I.23.d.80.98
07-Jun-16,Zillebeke Switch,50.831176,2.92435,Move to Support Hill 60,,,,28.I.29.a.1.9
09-Jun-16,Divisional Reserve Camp A,50.848095,2.770554,Bttn in Relief,,,,28.G.11.c.5.5
11-Jun-16,Railway Dugouts,50.830733,2.921772,Back in the Front Line,,,,28.I.28.b.7.8
13-Jun-16,Mont Sorrel,50.827531,2.941458,Attack 0130. Well executed Plan Regained most of Lost Ground. ,,CO LCol Creighton Killed.,,28.I.30.c.72.97
15-Jun-16,Conaught Lines,50.829851,2.700466,Battalion In Reserve,,,,
21-Jun-16,Conaught Lines,50.83,2.7,280 Replacements from 87 Bttn including Robert Connelly Arrive,,,,
25-Jun-16,Akba Cottage,50.826912,2.725241,"Training, bombing practice Gas Mask Drills",,,,27.L.30.b.4.5
30-Jun-16,Kenora Camp,50.829534,2.781317,"Training, Rest",,,,28.G.30.a.6.95
07-Jul-16,Halifax Trench,50.833832,2.939856,Attack at Mont Sorrel. 120 Casualties,,,,28.I.24.c.5.5
12-Jul-16,Dickebusch Huts,50.828517,2.817717,Relieved by CEF 49th Bttn. Move to Brigade Reserve,,,,28.H.26.b.7.6
21-Jul-16,Ypres-Commines Canal,50.826107,2.848559,Move to Ypres-Commines Canal. 76 Replacements received,,,, 28.H.29.c.4.9
26-Jul-16,Woodcote Farm,50.835717,2.93525,Relieved by 10th Bttn. Move back to reserve trenches,,,,28.I.23.d.80.98
01-Aug-16,Bedford House,50.828535,2.892035,Relieved by 13th Battalion ,,,,28.I.26.b.11.36
12-Aug-16,Nordausques,50.7782737,2.1890089,Removed from Front Lines for Training,,,,
31-Aug-16,Albert,50.0035747,2.6340213,Move to the Somme Area,,,,57D.X.6.a.2.6
02-Sep-16,Pozieres Windmill,50.042337,2.744539,Relieving 27th Aust Bttn on the Somme in front line trenches,,,,
11-Sep-16,Albert,50.0035747,2.6340213,Move to rear for reorganizing and training,,,,57D.X.6.a.2.6
17-Sep-16,Pozieres,50.038968,2.7389,Relieved 27 Cdn Bttn,,,,57D.X.5.d.3.8
20-Sep-16,Courcelette,50.057258,2.752922,Relieved 4th Bttn in Courcelette. Fierce fighting for several days,,,,57C.M.25.B.6.2
24-Sep-16,Albert,50.0035747,2.6340213,Relieved by 3rd Bttn. Move back to reserve . 450 Casualties for the month of September,,,,57D.X.6.a.2.6
06-Oct-16,Dyke Road,50.06507,2.758728,Relieving 4th Battalion in Trenches just north of Courcelette,,,,57C.M.20.A.55.8
07-Oct-16,Regina Trench,50.07444,2.76129,1 Bttn was preparing to attack Regina Trench but attack was postponed,,,,57C.M.14.b.0.35
08-Oct-16,Pozieres,50.039763,2.736963,Relieved by 3rd and 45h Bttn. 1 Bttn to trenches near Pozieres.3rd and 4th Bttn had 800 casualities and took 200 prisoners.,,,,57D.X.5
11-Oct-16,Bouzincourt,50.026808,2.610813,Out of the front line for rest and reorganization.,,,,57d.W.7.d.17.30
17-Oct-16,Berneville,50.2632058,2.6635108,Repositioning north of Arras,,,,
25-Oct-16,Carency,50.379633,2.704283,Replacing 3rd Bttn in Brigade Support,,,, 36b.X.15.d.7.3
28-Oct-16,Coburg Alley,50.38813,2.756708,In the front line replacing 4th Bttn,,,,36c.S.8.d.93.17
03-Nov-16,Camblain l'Abbe,50.3628699,2.6648582,Rest and training,,,,
09-Nov-16,Bois de Berthonval ,50.36485,2.718617,Brigade Reserve replacing 13th Bttn,,,,36b.X.28.d.9.6
18-Nov-16,Bois de Belieul,50.359869,2.288859,In the front line replacing 4th Bttn,,,,36b.S.25.b.0.1
27-Nov-16,Chamblaigneul,50.378779,2.6020801,Rest and training,,,,
04-Dec-16,Carency,50.379633,2.704283,Replacing 14th Bttn in Brigade Support,,,, 36b.X.15.d.7.3
12-Dec-16,Bois de Belieul,50.359869,2.288859,In the front line replacing 4th Bttn,,,,36b.S.25.b.0.1
20-Dec-16,Dieval,50.4386986,2.434843,Extended training period,,,,36b.O.7.d.95.62
22-Jan-17,Bouvigny Huts,50.40355,2.6869,Brigade Reserve  ,,,,36b.R.32.d.2.2
24-Jan-17,Bois de Noulette,50.4160311,2.708633,In the front line near Souchey replacing 4th Bttn,,,,36b.R.28.a.60.19
31-Jan-17,Ablain-St-Nazaire,50.3988959,2.689526,Brigade Support,,,,
06-Feb-17,Bois de Noulette,50.4160311,2.708633,In the front line near Souchey replacing 4th Bttn,,,,36b.R.28.a.60.19
12-Feb-17,Bouvigny Huts,50.40355,2.6869,Brigade Reserve  ,,,,36b.R.32.d.2.2
18-Feb-17,Bois de Noulette,50.4160311,2.708633,In the front line near Souchey replacing 4th Bttn,,,,36b.R.28.a.60.19
25-Feb-17,Ablain-St-Nazaire,50.3988959,2.689526,Brigade Support,,,,
02-Mar-17,Bois de Noulette,50.4160311,2.708633,In the front line near Souchey replacing 4th Bttn,,,,36b.R.28.a.60.19
05-Mar-17,Bouvigny Huts,50.40355,2.6869,Brigade Reserve  ,,,,36b.R.32.d.2.2
10-Mar-17,Estree-Cauchy,50.4007454,2.6016257,Rest and training,,,,
30-Mar-17,Maison Blanche,50.3433702,2.7498064,Brigade Support,,,,
02-Apr-17,Labyrinthe Avenue,50.334998,2.772279,In the front line replacing 4th Bttn. 1 Bttn conducted numerous trench raids.,,,,51b.A.22.c.1.9
06-Apr-17,Camblain l'Abbe,50.3628699,2.6648582,Rest and training,,,,
08-Apr-17,Ecurie,50.337177,2.762072,Assembly for Attack on Vimy Ridge,,,,51b.A.21.a
09-Apr-17,Start of the Assault on Vimy Ridge,50.333978,2.768605,0530 Attack on Vimy Ridge commences 0530 hours 1st Battn A Coy,,,,51b.A21.d.4.7
09-Apr-17,Start of the Assault on Vimy Ridge,50.336462,2.769806,0530 Attack on Vimy Ridge commences 0530 hours 1st Battn B Coy,,,,51b.A21.b.7.3
09-Apr-17,Start of the Assault on Vimy Ridge,50.337659,2.767196,0530 Attack on Vimy Ridge commences 0530 hours 1st Battn C Coy,,,,51b.A21.b.3.6
09-Apr-17,Start of the Assault on Vimy Ridge,50.337195,2.763356,0530 Attack on Vimy Ridge commences 0530 hours 1st Battn D Coy,,,,51b.A21.b.5.7
09-Apr-17,Swischen Stellung,50.344805,2.793623,0749 1st Phase of the Attack Successful,,,,51b.A.17.b.45.25
09-Apr-17,Swischen Stellung,50.340686,2.793117,0749 1st Phase of the Attack Successful,,,, 51b.A.17.d.35.25
09-Apr-17,Second Branch Swischen Stellung,50.343144,2.798498,0845 C Company takes next Branch of Trench including Albrecht Avenue,,,,51b.A.18.c.20.83
09-Apr-17,Second Branch Swischen Stellung,50.342024,2.800784,0845 B Company takes next Branch of Trench,,,, 51b.A.18.c.55.55
09-Apr-17,Island Traverse Trench,50.345106,2.809807,1050 D Company Moves forward to Blue Line Objective,,,,51b.A.18.b.97.27
