Date,MBS Prefix,Map Ref,Latitude,Longitude,,Location,Country,Comments
25-07-1944,,,49.3141695,-0.5749092,,Arromanches,France,Finally Landed
26-07-1944,,,49.2973218,-0.5451435,0.0297657,Tierceville,France, 
29-07-1944,vU,9635,49.13934,-0.39213,0.1530135,Caen,France, 
31-07-1944,,,49.1444907,-0.3560046,0.0361254,Bras (Ifs),France, 
01-08-1944,,,49.1868508,-0.1498689,0.2061357,Bourgu‚bus,France, 
22-08-1944,,,48.8577494,0.1303467,#REF!,Mont Ormel,France, 
23-08-1944,,,48.8868307,0.3036814,0.1733347,Le Sap,France, 
24-08-1944,,,49.1124942,0.6706275,0.3669461,Serquigny,France, 
25-08-1944,,,49.0596002,0.6846135,0.0139860,Louversey,France, 
27-08-1944,,,49.3249082,1.1160955,0.4314820,Igoville,France,75 casualties
29-08-1944,,,49.3761603,1.1696344,0.0535389,Boos,France, 
31-08-1944,,,49.519325,1.2907970,0.1211626,Bosc Edeline,France, 
01-09-1944,,,49.310763,0.9623170,-0.3284800,Orival,France, 
02-09-1944,,,49.9966744,1.8469891,0.8846721,Hallencourt,France, 
03-09-1944,,,50.0923102,1.8938984,0.0469093,Bellancourt,France, 
04-09-1944,vM,857828,50.1014000,1.9363300,0.0424316,Buigny,France, 
07-09-1944,,,50.7673170,2.2297536,0.2934236,St Omer,France, 
08-09-1944,,,51.1794840,3.3226000,1.0928464,Moerbrugge,Belgium, 
14-09-1944,vH,906945,51.1677600,3.3094300,-0.0131700,Beermem,Belgium, 
15-09-1944,qC,934015,51.2320600,3.3435800,0.0341500,Damme,Belgium, 
16-09-1944,vJ,121937,51.1715300,3.6171100,0.2735300,Waarschoot,Belgium, 
17-09-1944,vJ,237936,51.1762200,3.7828800,0.1657700,Evergem,Belgium, 
18-09-1944,vJ,251975,51.2119000,3.7999600,0.0170800,Sas Van Ghent,Netherlands, 
21-09-1944,,,51.2702029,3.7192657,-0.0806943,Boekhoute,Belgium, 
02-10-1944,qD,,51.2493691,3.6038700,-0.1153957,Kerselaar,Belgium, 
16-10-1944,qD,858020,51.2776900,4.6656100,1.0617400,Antwerp,Belgium, 
17-10-1944,qD,764012,51.2669800,4.5314700,-0.1341400,Schoten,Belgium, 
19-10-1944,qD,715102,51.3459300,4.4556900,-0.0757800,Ravenhof,Belgium,Photo of Chateau - Kasteel Ravenhof
20-10-1944,qD,725124,51.3660800,4.4686600,0.0129700,Kalmthout,Belgium,Start of Operation Suitcase
21-10-1944,qD,724194,51.4289000,4.4628600,-0.0058000,Essen,Belgium, 
22-10-1944,qD,714214,51.4464800,4.4472300,-0.0156300,West of Essen,Belgium, 
24-10-1944,qD,695251,51.4789600,4.4175800,#REF!,Wouwse Plantage,Netherlands,George Joins the Argylls D Company
26-10-1944,qD,641224,51.460433,4.3448500,-0.0727300,Hoogerheide,Netherlands,
27-10-1944,qD,641224,51.4701000,4.3259900,-0.0188600,Heimolen,Netherlands, 
28-10-1944,qD,606281,51.5023100,4.2876000,-0.0383900,Bergen Op Zoom,Netherlands, 
01-11-1944,qD,607324,51.5409600,4.2862000,-0.0014000,Oudemolen,Netherlands, 
02-11-1944,qD,647323,51.5408800,4.3150700,0.0288700,Moerstraten,Netherlands, 
