Location,Date,Latitude,Longitude,Reason,Comments,Photo
Paris,1914-09-06,48.9884703,2.4764907,Airport,https://www.parisaeroport.fr/en,Parisairport.png
La Ferte Sous Jouarre Memorial,1914-09-07,48.9562499,3.1173759,Henry Goodfellow Memorial Stone 9,https://www.cwgc.org/visit-us/find-cemeteries-memorials/cemetery-details/79100/LA%20FERTE-SOUS-JOUARRE%20MEMORIAL/,la-ferte-jouarre-mem.png
Verdun,1914-09-08,49.2074232,5.4245709,Trench Tour,http://memorial-verdun.fr/en/,verdun.png
Suffolk Hill Memorial,1914-09-09,50.102668,3.527526,2nd Suffolks Memorial Henry Goodfellow ,https://www.planetsuffolk.com/suffolkhillfrance.htm,LeCateauBattleMap.png
Sancourt British Cemetery,1914-09-10,50.2213462,3.1841254,"Robert Connelly Plot 1, Row B, Grave 11",https://www.veterans.gc.ca/eng/remembrance/memorials/canadian-virtual-war-memorial/cem?cemetery=62700,SancourtBritishCemetery.png
Courcelette,1914-09-11,50.0582535,2.726479,William Johnston Wounded,https://www.warmuseum.ca/firstworldwar/history/battles-and-fighting/land-battles/courcelette/,Courcelette15Sep1916.png
Lochnagar Crater,1914-09-12,50.0155739,2.6973836,Largest Crater in WWI,http://www.greatwar.co.uk/somme/memorial-lochnagar-crater.htm,Lochnagar.png
Theipval Memorial,1914-09-13,50.0486431,2.6869944,Monument to the Missing,https://www.cwgc.org/visit-us/find-cemeteries-memorials/cemetery-details/80800/thiepval%20memorial/,thiepval-memorial.png
Beaumont-Hamel,1914-09-14,50.0738377,2.6460766,Royal Newfoundland Regiment Memorial,https://www.veterans.gc.ca/eng/remembrance/memorials/overseas/first-world-war/france/beaumonthamel,newf_caribou2.png
Vimy Memorial,1914-09-15,50.3795913,2.7717847,Canadian Memorial,https://www.veterans.gc.ca/eng/remembrance/memorials/overseas/first-world-war/france/vimy,vimy.png
Hill 70 Memorial,1914-09-16,50.4528335,2.7983763,Canadian Memorial,https://www.hill70.ca/Accueil.aspx,hill70.png
Loos Memorial,1914-09-17,50.4601614,2.7687267,Walter Goodfellow Memorial Panel 37 and 38,https://www.cwgc.org/visit-us/find-cemeteries-memorials/cemetery-details/79500/loos-memorial/,LoosMemorial.png
Flanders Field Cemetery,1914-09-18,50.8738253,3.451612,Canadian Memorial,https://www.visitflanders.com/en/themes/flanders_fields/highlights-in-48-hours/canadian-highlights-in-48-hours/,FlandersCemetery.png
Sanctuary Wood Trenches,1914-09-19,50.8368683,2.9430982,Hill 62 Trench Museum,http://www.greatwar.co.uk/ypres-salient/museum-sanctuary-wood.htm,SanctuaryWoods.png
Hill 62 Canadian Memorial,1914-09-20,50.8345972,2.9450081,Canadian Memorial 1916,https://www.veterans.gc.ca/eng/remembrance/memorials/hill-62,Hill62.png
Passchendale,1914-09-21,50.9002321,2.9857155,Canadian Battle,https://www.warmuseum.ca/firstworldwar/history/battles-and-fighting/land-battles/passchendaele/,passchendaele.png
Flanders Field Museum Ypres,1914-09-22,50.8512232,2.8835454,WWI Museum,https://www.inflandersfields.be/en,FlandersMuseum.png
Menin Gate,1914-09-23,50.8519971,2.8889439,Ernest Goodfellow - Panel 21,https://www.cwgc.org/visit-us/find-cemeteries-memorials/cemetery-details/91800/ypres%20(menin%20gate)%20memorial/,MeninGate.png
Dunkirk,1914-09-24,51.0308158,2.3730862,Dunkirk Evacuation 1940,https://www.iwm.org.uk/history/what-you-need-to-know-about-the-dunkirk-evacuations,dunkirk.png
Dieppe,1914-09-25,49.9200491,1.0659799,Canadian Failed Landing WW2,https://www.thecanadianencyclopedia.ca/en/article/dieppe-raid,Dieppe.png
Ranville Military Cemetery,1914-09-27,49.2311045,-0.2584432,F/L Robert McKenzie,https://www.cwgc.org/visit-us/find-cemeteries-memorials/cemetery-details/2033500/ranville-war-cemetery/,RobertMcKenzieGraveMarker.png
Juno Beach,1914-09-26,49.3377821,-0.4713532,Canadian Beach D Day,https://www.junobeach.org/,JunoBeach.png
Paree,1914-09-28,48.95,2.476,Airport,https://www.parisaeroport.fr/en, 
